IP;MAC;State
10.0.0.208;ukjent;down
10.0.0.209;ukjent;down
10.0.0.210;ukjent;down
10.0.0.211;ukjent;down
10.0.0.212;ukjent;down
10.0.0.213;ukjent;down
10.0.0.214;ukjent;down
10.0.0.215;ukjent;down
10.0.0.216;ukjent;down
10.0.0.217;ukjent;down
10.0.0.218;ukjent;down
10.0.0.219;ukjent;down
10.0.0.220;ukjent;down
10.0.0.221;ukjent;down
10.0.0.222;ukjent;down
10.0.0.223;ukjent;down
10.0.0.224;ukjent;down
10.0.0.225;ukjent;down
10.0.0.226;ukjent;down
10.0.0.227;ukjent;down
10.0.0.228;ukjent;down
10.0.0.229;ukjent;down
10.0.0.230;ukjent;down
10.0.0.231;ukjent;down
10.0.0.232;ukjent;down
10.0.0.233;ukjent;down
10.0.0.234;ukjent;down
10.0.0.235;ukjent;down
10.0.0.236;ukjent;down
10.0.0.237;ukjent;down
10.0.0.238;ukjent;down
10.0.0.239;ukjent;down
10.0.0.240;ukjent;down
10.0.0.241;ukjent;down
10.0.0.242;ukjent;down
10.0.0.243;ukjent;down
10.0.0.244;ukjent;down
10.0.0.245;ukjent;down
10.0.0.246;ukjent;down
10.0.0.247;ukjent;down
10.0.0.248;ukjent;down
10.0.0.249;ukjent;down
10.0.0.250;ukjent;down
10.0.0.251;ukjent;down
10.0.0.252;ukjent;down
10.0.0.253;ukjent;down
10.0.0.254;ukjent;down
10.0.0.255;ukjent;down
10.0.0.8;ukjent;up
